DW_Order_Item,Order ID,Order Date,Shipping Date,Number Of Days,Delivery Fee,Shipping Mode,DW_Customer_ID,DW_Product_ID,Warehouse_ID,Quantity,Discount Percentage,Discount Amount,Amount,Customer ID,Customer Name,Segment,City-1,Valid From,Valid Until,Product ID,Category,Sub-Category,Product-Name,Unit Cost,City,Province
1,1,26/06/2018,06/07/2018,10,2.490000010,Standard Class,291,89,6,3,0,0,20.67,315523691,Andy Yotov,Corporate,CHATHAM,24/05/2017,,89,Office Supplies,Fasteners,"Accos Thumb Tacks, Bulk Pack",6.89,CHATHAM,Ontario
2,2,12/09/2018,10/10/2018,28,5.489999771,Second Class,286,226,4,2,0,0,9.82,315523741,Lindsay Shagiari,Home Office,CHATHAM,24/05/2017,,226,Office Supplies,Labels,"Novimex Shipping Labels, 5000 Label Set",4.91,CHATHAM,Ontario
3,3,12/08/2019,06/09/2019,25,80.529998779,Standard Class,217,15,20,3,0.200000003,19.632,78.528,315524001,Natalie Webber,Consumer,CHATHAM,24/05/2017,,15,Technology,Accessories,"Enermax Numeric Keypad, Bluetooth",32.72,CHATHAM,Ontario
4,4,14/10/2018,06/11/2018,23,18.979999542,Standard Class,522,9,16,3,0.400000006,92.232,138.348,315523692,Stephanie Ulpright,Home Office,HARWICH,24/05/2017,,9,Technology,Accessories,"Memorex Router, Bluetooth",76.86,HARWICH,Ontario
5,5,05/03/2021,26/03/2021,21,46.810001373,Second Class,284,3,14,4,0,0,79.64,315523831,Gary Zandusky,Consumer,CAMDEN,24/05/2017,,3,Technology,Accessories,"Belkin Numeric Keypad, Bluetooth",19.91,CAMDEN,Ontario
6,5,05/03/2021,26/03/2021,21,46.810001373,Second Class,284,34,14,7,0,0,157.5,315523831,Gary Zandusky,Consumer,CAMDEN,24/05/2017,,34,Technology,Accessories,"SanDisk Numeric Keypad, Bluetooth",22.5,CAMDEN,Ontario
7,6,12/12/2017,10/01/2018,29,11.840000153,Standard Class,511,102,20,4,0.200000003,3.824,15.296,315523570,Christina DeMoss,Consumer,TILBURY,24/05/2017,,102,Office Supplies,Fasteners,"Accos Thumb Tacks, Assorted Sizes",4.78,TILBURY,Ontario
8,6,12/12/2017,10/01/2018,29,11.840000153,Standard Class,511,233,20,2,0.200000003,2.664,10.656,315523570,Christina DeMoss,Consumer,TILBURY,24/05/2017,,233,Office Supplies,Labels,"Avery Color Coded Labels, Alphabetical",6.66,TILBURY,Ontario
9,7,24/02/2020,17/03/2020,22,3.839999914,Standard Class,117,22,18,5,0.400000006,95.76,143.64,315523704,Susan Vittorini,Consumer,CHATHAM,24/05/2017,,22,Technology,Accessories,"Enermax Memory Card, USB",47.88,CHATHAM,Ontario
10,8,03/01/2018,06/01/2018,3,49.409999847,Standard Class,56,7,16,8,0,0,95.36,315523596,Evan Bailliet,Consumer,CHATHAM,24/05/2017,,7,Technology,Accessories,"Belkin Mouse, USB",11.92,CHATHAM,Ontario
11,9,18/01/2018,26/01/2018,8,12.710000038,Standard Class,417,4,1,2,0,0,21.1,315524021,Michelle Moray,Consumer,CHATHAM,24/05/2017,,4,Technology,Accessories,"Logitech Flash Drive, Erganomic",10.55,CHATHAM,Ontario
12,9,18/01/2018,26/01/2018,8,12.710000038,Standard Class,417,5,1,3,0,0,243.69,315524021,Michelle Moray,Consumer,CHATHAM,24/05/2017,,5,Technology,Accessories,"SanDisk Router, Bluetooth",81.23,CHATHAM,Ontario
13,9,18/01/2018,26/01/2018,8,12.710000038,Standard Class,417,316,1,1,0,0,83.56,315524021,Michelle Moray,Consumer,CHATHAM,24/05/2017,,316,Office Supplies,Appliances,"Breville Microwave, Black",83.56,CHATHAM,Ontario
14,10,02/01/2018,05/01/2018,3,33.759998322,Standard Class,43,10,6,3,0,0,46.41,315524007,Mary O'Rourke,Consumer,CHATHAM,24/05/2017,,10,Technology,Accessories,"Belkin Flash Drive, Bluetooth",15.47,CHATHAM,Ontario
